itemid,mean,dev_std,min,max,sparse
14868,0, 0, 0, 0, 1
14869,4.88251e-05, 2.5448287e-05, 1.8037124e-05, 9.7874974e-05, 0.9988369275502786
14870,0, 0, 0, 0, 1
14871,3.867331e-05, 0.0, 3.867331e-05, 3.867331e-05, 0.9999515386479283
14872,6.0315753e-05, 3.8857812e-05, 1.836588e-05, 0.000117061645, 0.9995638478313545
14873,3.3062934e-05, 2.3843864e-05, 1.7789009e-05, 9.64822e-05, 0.9990307729585656
14874,0, 0, 0, 0, 1
14875,4.684026e-05, 1.49715515e-05, 1.886378e-05, 7.833423e-05, 0.9994184637751393
14876,7.938099e-05, 2.2643537e-05, 3.855818e-05, 0.00013753815, 0.9992246183668524
14877,9.8085366e-05, 7.0000504e-05, 1.8872546e-05, 0.00017733987, 0.9998061545917131
14878,2.8777587e-05, 9.922994e-06, 1.8854595e-05, 3.8700582e-05, 0.9999030772958566
14879,0.00017415099, 0.0002014915, 1.7375642e-05, 0.00070364197, 0.9987884661982069
14880,0.00010763809, 0.00012182864, 4.2752417e-06, 0.00048344923, 0.9966561667070511
14881,0, 0, 0, 0, 1
14882,0, 0, 0, 0, 1
14883,0, 0, 0, 0, 1
14884,1.8918063e-05, 0.0, 1.8918063e-05, 1.8918063e-05, 0.9999515386479283
14885,0.00015206977, 0.00022195562, 8.194235e-07, 0.001708988, 0.9798400775381633
14886,7.909541e-05, 7.277271e-05, 1.5261552e-05, 0.0003475406, 0.9950084807366125
14887,0, 0, 0, 0, 1
14888,0, 0, 0, 0, 1
14889,6.943938e-05, 4.0793475e-05, 1.8829924e-05, 0.00013769192, 0.9995638478313545
14890,0, 0, 0, 0, 1
14891,0, 0, 0, 0, 1
14892,0, 0, 0, 0, 1
14893,0, 0, 0, 0, 1
14894,0, 0, 0, 0, 1
14895,0, 0, 0, 0, 1
14896,0, 0, 0, 0, 1
14897,3.8671697e-05, 1.6151062e-05, 1.8903971e-05, 5.8465805e-05, 0.9998546159437849
14898,0, 0, 0, 0, 1
14899,0.00016330752, 0.00017777013, 1.2948296e-07, 0.0009149536, 0.9899685001211533
14900,0, 0, 0, 0, 1
14901,0, 0, 0, 0, 1
14902,0, 0, 0, 0, 1
14903,0.00017313074, 0.00020486633, 1.12807265e-05, 0.0011863238, 0.991616186091592
14904,0.00015821861, 0.00021276397, 2.8382549e-06, 0.0015625847, 0.9748000969227042
14905,0.00012481051, 0.00012876099, 1.349072e-05, 0.0005208536, 0.9962684758904773
14906,3.874995e-05, 0.0, 3.874995e-05, 3.874995e-05, 0.9999515386479283
14907,0.000222818, 0.0003349455, 5.7929697e-07, 0.002454652, 0.9680639689847347
14908,4.30407e-05, 3.1990112e-05, 1.45033255e-05, 0.00015335517, 0.9969953961715532
14909,0, 0, 0, 0, 1
14910,5.1765994e-05, 3.3464126e-05, 1.8922608e-05, 9.7696255e-05, 0.9998546159437849
14911,1.887061e-05, 2.2019776e-08, 1.8848592e-05, 1.8892631e-05, 0.9999030772958566
14912,0, 0, 0, 0, 1
14913,0, 0, 0, 0, 1
14914,0, 0, 0, 0, 1
14915,0, 0, 0, 0, 1
14916,7.4658805e-05, 6.7444606e-05, 1.5768006e-05, 0.00029100658, 0.9960746304821905
14917,0, 0, 0, 0, 1
14918,0, 0, 0, 0, 1
14919,2.8736387e-05, 9.898464e-06, 1.882817e-05, 3.873928e-05, 0.9998061545917131
14920,0.00017169621, 0.00021268493, 1.8903164e-06, 0.001103594, 0.9872546644051369
14921,0, 0, 0, 0, 1
14922,0, 0, 0, 0, 1
14923,0, 0, 0, 0, 1
14924,0, 0, 0, 0, 1
14925,0, 0, 0, 0, 1
14926,0, 0, 0, 0, 1
14927,0, 0, 0, 0, 1
14928,0, 0, 0, 0, 1
14929,0, 0, 0, 0, 1
14930,3.8597736e-05, 0.0, 3.8597736e-05, 3.8597736e-05, 0.9999515386479283
14931,6.1662686e-05, 5.4853263e-05, 1.6594102e-05, 0.00023491614, 0.9984007753816332
14932,0, 0, 0, 0, 1
14933,6.9883485e-05, 5.219877e-05, 1.8533052e-05, 0.00019693127, 0.9986915434940635
14934,4.9304283e-05, 2.4691484e-05, 1.8493218e-05, 7.8033016e-05, 0.9995638478313545
14935,0, 0, 0, 0, 1
14936,0, 0, 0, 0, 1
14937,0, 0, 0, 0, 1
14938,0, 0, 0, 0, 1
14939,0, 0, 0, 0, 1
14940,2.7183603e-05, 1.4274421e-05, 1.8625984e-05, 5.7875604e-05, 0.999660770535498
14941,0, 0, 0, 0, 1
14942,0, 0, 0, 0, 1
14943,6.0265033e-05, 4.511939e-05, 1.4282642e-05, 0.00018933338, 0.996850012115338
14944,9.121079e-05, 6.0841827e-05, 1.7372035e-05, 0.0002721002, 0.9987884661982069
14945,0, 0, 0, 0, 1
14946,5.1220177e-05, 3.545157e-05, 1.8182762e-05, 0.00013632695, 0.9994184637751393
14947,0, 0, 0, 0, 1
14948,0, 0, 0, 0, 1
14949,0.00010659353, 0.00012623065, 9.728139e-06, 0.0006850003, 0.9941846377513933
14950,0.0002588933, 0.00020247893, 1.1575392e-05, 0.00085642224, 0.9969469348194815
14951,0, 0, 0, 0, 1
14952,0, 0, 0, 0, 1
14953,3.1860054e-05, 2.9482282e-05, 1.8609966e-05, 9.778427e-05, 0.9997092318875697
14954,0, 0, 0, 0, 1
14955,0, 0, 0, 0, 1
14956,0, 0, 0, 0, 1
14957,3.8642742e-05, 0.0, 3.8642742e-05, 3.8642742e-05, 0.9999515386479283
14958,3.8619844e-05, 0.0, 3.8619844e-05, 3.8619844e-05, 0.9999515386479283
14959,7.6933145e-05, 8.0925085e-05, 1.2400511e-05, 0.00046512802, 0.9954930942573298
14960,0, 0, 0, 0, 1
14961,4.4764216e-05, 3.3647186e-05, 1.794107e-05, 0.00015678811, 0.9989823116064939
14962,0, 0, 0, 0, 1
14963,0, 0, 0, 0, 1
14964,1.8625235e-05, 0.0, 1.8625235e-05, 1.8625235e-05, 0.9999515386479283
14965,7.0213464e-05, 7.114475e-05, 1.6630456e-05, 0.0003140296, 0.9980130845650593
14966,0, 0, 0, 0, 1
14967,0, 0, 0, 0, 1
14968,0, 0, 0, 0, 1
14969,0, 0, 0, 0, 1
14970,2.1089822e-05, 6.237038e-06, 1.878773e-05, 3.8730414e-05, 0.9995638478313545
14971,0, 0, 0, 0, 1
14972,0, 0, 0, 0, 1
14973,0, 0, 0, 0, 1
14974,5.8938902e-05, 5.96516e-05, 1.5504576e-05, 0.00030986642, 0.9959777077780471
14975,2.8644523e-05, 9.805628e-06, 1.8838895e-05, 3.845015e-05, 0.9999030772958566
14976,0, 0, 0, 0, 1
